ManufacturerName,DKPartNumber,ProductDescription,QuantityOnHand,AvailableOnOrder,ManfacturerPublicQuantity,UnitPrice,ManufacturerLeadWeeks,StandardPackage,MinimumOrderQuantity,Url,Packaging,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Failure Rate,Notification,Applications,Temperature Coefficient,Thickness (Max),Lead Style,Ratings
"{'Id': '399', 'Text': 'KEMET'}",399-9776-2-ND,CAP TANT POLY 220UF 6.3V 2312,39000,0,0,0.5712,13 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520C227M006ATE025/399-9776-2-ND/3724866,Tape & Reel (TR),Active,220µF,±20%,6.3V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-6324-2-ND,CAP TANT POLY 150UF 6.3V 2917,1000,0,0,1.45,21 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T522V157M006ATE025/399-6324-2-ND/2811008,Tape & Reel (TR),Active,150µF,±20%,6.3V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-16565-2-ND,CAP TANT POLY COTS SMD 150UF 25V,0,500,0,9.6135,11 weeks,500,500,www.digikey.com/product-detail/en/kemet/T543O157M025AHE045/399-16565-2-ND/7932639,Tape & Reel (TR),Active,150µF,-,25V,Molded,45 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2924 (7360 Metric),"0.287"" L x 0.236"" W (7.30mm x 6.00mm)","0.169"" (4.30mm)",-,O,High Reliability,,,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-12103-2-ND,CAP TANT POLY 220UF 10V 2917,500,0,0,0.9902,29 weeks,500,500,www.digikey.com/product-detail/en/kemet/T598D227M010ATE040/399-12103-2-ND/5360983,Tape & Reel (TR),Active,220µF,±20%,10V,Molded,40 mOhm @ 100kHz,-55°C ~ 125°C,1000 Hrs @ 125°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,AEC-Q200
"{'Id': '399', 'Text': 'KEMET'}",399-3268-2-ND,CAP TANT POLY 680UF 3V 2917,500,0,0,1.6716,20 weeks,500,500,www.digikey.com/product-detail/en/kemet/T525D687M003ATE025/399-3268-2-ND/600067,Tape & Reel (TR),Active,680µF,±20%,3V,Molded,25 mOhm @ 100kHz,-55°C ~ 125°C,-,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4817-2-ND,CAP TANT POLY 680UF 4V 2917,0,9000,0,3.8425,24 weeks,500,500,www.digikey.com/product-detail/en/kemet/T530X687M004ATE004/399-4817-2-ND/1085512,Tape & Reel (TR),Active,680µF,±20%,4V,Molded,4 mOhm,-55°C ~ 125°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.169"" (4.30mm)",-,X,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4040-2-ND,CAP TANT POLY 150UF 10V 2917,21500,20000,0,0.61226,21 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520D157M010ATE055/399-4040-2-ND/818901,Tape & Reel (TR),Active,150µF,±20%,10V,Molded,55 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-12331-2-ND,CAP TANT POLY 330UF 4V 2312,0,500,0,0.58906,13 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520C337M004ATE025/399-12331-2-ND/5452609,Tape & Reel (TR),Active,330µF,±20%,4V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-12246-2-ND,CAP TANT POLY 470UF 4V 2917,0,0,0,6.3542,53 weeks,500,500,www.digikey.com/product-detail/en/kemet/T543Y477K004ATE005/399-12246-2-ND/5414686,Tape & Reel (TR),Active,470µF,±10%,4V,Molded,5 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.157"" (4.00mm)",-,Y,High Reliability,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-14800-2-ND,CAP TANT POLY 10UF 35V 1411,0,0,0,2.03,30 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T521B106M035ATE200/399-14800-2-ND/7344701,Tape & Reel (TR),Active,10µF,±20%,35V,Molded,200 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 125°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
