Digi-Key Part Number,Quantity Available,Manufacturer,Manufacturer Part Number,Description,Lead Free Status / RoHS Status,Moisture Sensitivity Level (MSL),Detailed Description
478-5266-2-ND,"1,500,000
 Can ship immediately",AVX Corporation,02016D104KAT2A,CAP CER 0.1UF 6.3V X5R 0201,Lead free / RoHS Compliant,1  (Unlimited),0.1µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
490-6113-2-ND,"825,000
 Can ship immediately",Murata Electronics North America,GRM0335C1H101JA01D,CAP CER 100PF 50V C0G/NP0 0201,Lead free / RoHS Compliant,1  (Unlimited),"100pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)"
