Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Unit Price                                                          USD,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Ratings,Features,Failure Rate
399-9713-1-ND,T491A334M035AT,KEMET,CAP TANT 0.33UF 35V 20% 1206,"7,575 - Immediate",$0.39000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.33µF,±20%,35V,Molded,15 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10123-1-ND,T491A334K025AT,KEMET,CAP TANT 0.33UF 25V 10% 1206,"25,655 - Immediate",$0.40000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.33µF,±10%,25V,Molded,15 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3680-1-ND,T491A105K025AT,KEMET,CAP TANT 1UF 25V 10% 1206,"86,672 - Immediate",$0.40000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±10%,25V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8287-1-ND,T491A474K035AT,KEMET,CAP TANT 0.47UF 35V 10% 1206,"20,441 - Immediate",$0.40000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.47µF,±10%,35V,Molded,12 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8285-1-ND,T491A335M020AT,KEMET,CAP TANT 3.3UF 20V 20% 1206,"4,212 - Immediate",$0.40000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±20%,20V,Molded,4.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3683-1-ND,T491A106K006AT,KEMET,CAP TANT 10UF 6.3V 10% 1206,"17,523 - Immediate",$0.41000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,6.3V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8283-1-ND,T491A335K020AT,KEMET,CAP TANT 3.3UF 20V 10% 1206,"3,478 - Immediate",$0.41000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±10%,20V,Molded,4.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8270-1-ND,T491A154K035AT,KEMET,CAP TANT 0.15UF 35V 10% 1206,"4,292 - Immediate",$0.41000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.15µF,±10%,35V,Molded,19 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10449-1-ND,T491A156K006AT,KEMET,CAP TANT 15UF 6.3V 10% 1206,"12,280 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±10%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10135-1-ND,T491A685M016AT,KEMET,CAP TANT 6.8UF 16V 20% 1206,"9,389 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,16V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
