Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Unit Price                                                          USD,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Ratings,Features,Failure Rate
495-2204-1-ND,T491A156M010AT,KEMET,CAP TANT 15UF 10V 20% 1206,"3,909 - Immediate",$0.51000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±20%,10V,Molded,3.2 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10153-1-ND,T491B685M016AT,KEMET,CAP TANT 6.8UF 16V 20% 1411,"27,241 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,16V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3723-1-ND,T491B475K020AT,KEMET,CAP TANT 4.7UF 20V 10% 1411,"60,040 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,20V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3721-1-ND,T491B475K010AT,KEMET,CAP TANT 4.7UF 10V 10% 1411,"10,421 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,10V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3708-1-ND,T491B106M016AT,KEMET,CAP TANT 10UF 16V 20% 1411,"76,874 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,16V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3712-1-ND,T491B156K010AT,KEMET,CAP TANT 15UF 10V 10% 1411,"22,808 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±10%,10V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8303-1-ND,T491B156M010AT,KEMET,CAP TANT 15UF 10V 20% 1411,"2,000 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±20%,10V,Molded,2.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8313-1-ND,T491B226M006AT,KEMET,CAP TANT 22UF 6.3V 20% 1411,"3,878 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±20%,6.3V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3711-1-ND,T491B155K025AT,KEMET,CAP TANT 1.5UF 25V 10% 1411,"4,322 - Immediate",$0.46000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1.5µF,±10%,25V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3702-1-ND,T491B105K035AT,KEMET,CAP TANT 1UF 35V 10% 1411,"55,567 - Immediate",$0.46000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±10%,35V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3715-1-ND,T491B225K025AT,KEMET,CAP TANT 2.2UF 25V 10% 1411,229 - Immediate,$0.53000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,25V,Molded,4.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-9726-1-ND,T491B474K035AT,KEMET,CAP TANT 0.47UF 35V 10% 1411,"4,058 - Immediate",$0.53000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.47µF,±10%,35V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8329-1-ND,T491B685M006AT,KEMET,CAP TANT 6.8UF 6.3V 20% 1411,"2,280 - Immediate",$0.53000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8309-1-ND,T491B225M025AT,KEMET,CAP TANT 2.2UF 25V 20% 1411,"7,205 - Immediate",$0.48000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±20%,25V,Molded,4.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3705-1-ND,T491B106K010AT,KEMET,CAP TANT 10UF 10V 10% 1411,"32,021 - Immediate",$0.48000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,10V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10141-1-ND,T491B155M035AT,KEMET,CAP TANT 1.5UF 35V 20% 1411,"14,439 - Immediate",$0.54000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1.5µF,±20%,35V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10148-1-ND,T491B474M035AT,KEMET,CAP TANT 0.47UF 35V 20% 1411,"3,650 - Immediate",$0.55000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.47µF,±20%,35V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3703-1-ND,T491B105M035AT,KEMET,CAP TANT 1UF 35V 20% 1411,"30,728 - Immediate",$0.49000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±20%,35V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8296-1-ND,T491B105M025AT,KEMET,CAP TANT 1UF 25V 20% 1411,"4,709 - Immediate",$0.49000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±20%,25V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8315-1-ND,T491B334K050AT,KEMET,CAP TANT 0.33UF 50V 10% 1411,"18,471 - Immediate",$0.55000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.33µF,±10%,50V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3718-1-ND,T491B334M050AT,KEMET,CAP TANT 0.33UF 50V 20% 1411,"4,516 - Immediate",$0.55000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.33µF,±20%,50V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-11970-1-ND,T489A104M035ATE20K,KEMET,CAP TAN .1UF 20% 35V 3216-18,"3,970 - Immediate",$0.56000,1,Cut Tape (CT) Alternate Packaging,T489,Active,0.1µF,±20%,35V,Molded,20 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10121-1-ND,T491A225K020AH,KEMET,CAP TANT 2.2UF 20V 10% 1206,"3,098 - Immediate",$0.57000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,20V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-9728-1-ND,T491B476K010AT,KEMET,CAP TANT 47UF 10V 10% 1411,"40,238 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±10%,10V,Molded,1 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10150-1-ND,T491B476M006AT,KEMET,CAP TANT 47UF 6.3V 20% 1411,"7,572 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±20%,6.3V,Molded,2 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10450-1-ND,T491A155M035AT,KEMET,CAP TANT 1.5UF 35V 20% 1206,"3,880 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1.5µF,±20%,35V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8304-1-ND,T491B224K050AT,KEMET,CAP TANT 0.22UF 50V 10% 1411,"2,716 - Immediate",$0.62000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.22µF,±10%,50V,Molded,14 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8300-1-ND,T491B106M020AT,KEMET,CAP TANT 10UF 20V 20% 1411,"21,110 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,20V,Molded,2.1 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8298-1-ND,T491B106K020AT,KEMET,CAP TANT 10UF 20V 10% 1411,"15,948 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,20V,Molded,2.1 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8311-1-ND,T491B226K010AT,KEMET,CAP TANT 22UF 10V 10% 1411,"15,232 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±10%,10V,Molded,2.3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8314-1-ND,T491B226M010AT,KEMET,CAP TANT 22UF 10V 20% 1411,"15,812 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±20%,10V,Molded,2.4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-9723-1-ND,T491B156K016AT,KEMET,CAP TANT 15UF 16V 10% 1411,"8,150 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±10%,16V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10149-1-ND,T491B476K004AT,KEMET,CAP TANT 47UF 4V 10% 1411,"5,748 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±10%,4V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8319-1-ND,T491B336K006AT,KEMET,CAP TANT 33UF 6.3V 10% 1411,"4,349 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,33µF,±10%,6.3V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-9729-1-ND,T491B476M004AT,KEMET,CAP TANT 47UF 4V 20% 1411,"2,239 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±20%,4V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10143-1-ND,T491B156M016AT,KEMET,CAP TANT 15UF 16V 20% 1411,"2,469 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±20%,16V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-9724-1-ND,T491B335K025AT,KEMET,CAP TANT 3.3UF 25V 10% 1411,"9,170 - Immediate",$0.63000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±10%,25V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-11971-1-ND,T489B106M006ATE3K0,KEMET,CAP TAN 10UF 20% 6V 3528-21,"3,803 - Immediate",$0.64000,1,Cut Tape (CT) Alternate Packaging,T489,Active,10µF,±20%,6.3V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
495-2271-1-ND,T491A225M025AT,KEMET,CAP TANT 2.2UF 25V 20% 1206,"2,006 - Immediate",$0.64000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±20%,25V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8307-1-ND,T491B225K035AT,KEMET,CAP TANT 2.2UF 35V 10% 1411,"33,585 - Immediate",$0.66000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,35V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8318-1-ND,T491B335M025AT,KEMET,CAP TANT 3.3UF 25V 20% 1411,"8,000 - Immediate",$0.66000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±20%,25V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8310-1-ND,T491B225M035AT,KEMET,CAP TANT 2.2UF 35V 20% 1411,"2,555 - Immediate",$0.66000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±20%,35V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10216-1-ND,T494A104K035AT,KEMET,CAP TANT 0.1UF 35V 10% 1206,"7,829 - Immediate",$0.66000,1,Cut Tape (CT) Alternate Packaging,T494,Active,0.1µF,±10%,35V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 125°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10119-1-ND,T491A106M010AH,KEMET,CAP TANT 10UF 10V 20% 1206,"2,346 - Immediate",$0.67000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,10V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10218-1-ND,T494A105K020AT,KEMET,CAP TANT 1UF 20V 10% 1206,"4,158 - Immediate",$0.69000,1,Cut Tape (CT) Alternate Packaging,T494,Active,1µF,±10%,20V,Molded,5.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 125°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-4756-1-ND,T498A475K010ATE2K9,KEMET,CAP TANT 4.7UF 10V 10% 1206,"4,024 - Immediate",$0.69000,1,Cut Tape (CT) Alternate Packaging,T498,Active,4.7µF,±10%,10V,Molded,2.9 Ohm,-55°C ~ 150°C,2000 Hrs @ 150°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.063"" (1.60mm)",-,A,AEC-Q200,General Purpose,-
399-10115-1-ND,T491A105K035AH,KEMET,CAP TANT 1UF 35V 10% 1206,"2,213 - Immediate",$0.69000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±10%,35V,Molded,7.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10117-1-ND,T491A106K010AH,KEMET,CAP TANT 10UF 10V 10% 1206,"3,498 - Immediate",$0.69000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,10V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10137-1-ND,T491B105M035AH,KEMET,CAP TANT 1UF 35V 20% 1411,"3,955 - Immediate",$0.72000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±20%,35V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-5152-1-ND,T491A106M020AT,KEMET,CAP TANT 10UF 20V 20% 1206,"182,519 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,20V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3688-1-ND,T491A107M004AT,KEMET,CAP TANT 100UF 4V 20% 1206,"42,102 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,100µF,±20%,4V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3692-1-ND,T491A226M010AT,KEMET,CAP TANT 22UF 10V 20% 1206,"23,430 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±20%,10V,Molded,3.2 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3700-1-ND,T491A476M006AT,KEMET,CAP TANT 47UF 6.3V 20% 1206,"11,329 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±20%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-9947-1-ND,T491A476M004AT,KEMET,CAP TANT 47UF 4V 20% 1206,"5,980 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,47µF,±20%,4V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8286-1-ND,T491A336M006AT,KEMET,CAP TANT 33UF 6.3V 20% 1206,"3,758 - Immediate",$0.73000,1,Cut Tape (CT) Alternate Packaging,T491,Active,33µF,±20%,6.3V,Molded,2.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3733-1-ND,T491C106K020AT,KEMET,CAP TANT 10UF 20V 10% 2312,"125,960 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,20V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-3735-1-ND,T491C106M016AT,KEMET,CAP TANT 10UF 16V 20% 2312,"48,479 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,16V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-8335-1-ND,T491C106M020AT,KEMET,CAP TANT 10UF 20V 20% 2312,"31,118 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,20V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-3731-1-ND,T491C106K010AT,KEMET,CAP TANT 10UF 10V 10% 2312,"12,720 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,10V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-3742-1-ND,T491C226K006AT,KEMET,CAP TANT 22UF 6.3V 10% 2312,"7,529 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±10%,6.3V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-9738-1-ND,T491C475K020AT,KEMET,CAP TANT 4.7UF 20V 10% 2312,"2,656 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,20V,Molded,2.4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-9737-1-ND,T491C475K016AT,KEMET,CAP TANT 4.7UF 16V 10% 2312,"2,512 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,16V,Molded,2.4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-3737-1-ND,T491C156K010AT,KEMET,CAP TANT 15UF 10V 10% 2312,"1,745 - Immediate",$0.61000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±10%,10V,Molded,1.8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,-,General Purpose,-
399-8295-1-ND,T491B105K035AH,KEMET,CAP TANT 1UF 35V 10% 1411,"3,943 - Immediate",$0.76000,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±10%,35V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
