478-5266-2-ND
"1,500,000
 Can ship immediately"
AVX Corporation
02016D104KAT2A
CAP CER 0.1UF 6.3V X5R 0201
Lead free / RoHS Compliant
1  (Unlimited)
0.1µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
